:START_ID(restaurants),:END_ID(ambiences)
Dy91wdWkwtI_qgjAIZ0Niw,0
_Oksx3ALgKLRVxeAR8l_qA,7
A_-Vv5oKZNqxsV69_7E2KQ,4
A_-Vv5oKZNqxsV69_7E2KQ,7
A_-Vv5oKZNqxsV69_7E2KQ,2
5R6YO6K9PkthkTbXqV9slQ,2
5R6YO6K9PkthkTbXqV9slQ,7
iXemjTj5TOByT1-cNTSaDw,2
iXemjTj5TOByT1-cNTSaDw,7
5ODCsQbRdsFIWlypGF3iUw,4
YdpDpp130fxiX2DUdQLSqg,7
EROSyhoWNCUH53NrDrsHgQ,2
SkWaAf50KiN2m0zXfnAuiA,2
CKKY7kxtznKVzm9FBzAL4w,7
OlOVRlcEstxKK_6hMjy63A,2
o8JeOB8HTa5HYHg6hfqTHw,0
7Ld1DxAhSlGSateku0iqbg,7
7O7YHTUB3uqXHsQSLKR0SA,2
MZW_eTFYFBvHYg5OFqDRCA,2
yDiWYpuzRxcTgSi_O4JZpQ,7
yDiWYpuzRxcTgSi_O4JZpQ,2
ThZyytdc_kj2uBYFiSao-A,2
uoMWvXch6sWnI9FMsE_-Vg,2
LSxmfbgcZLdQ5ai2vf2nmA,2
psD0qpCK-iENFO9c8hmnkw,2
5RtAJPXFLTzwALIe1mtNuA,4
5RtAJPXFLTzwALIe1mtNuA,2
mtowE4p6gOgyGrHAsMz-rg,2
oS70RVt-RegY3Ts0hLASQA,2
VMiDHHR-JHgB4ZoVluxpLQ,0
ixsljpxu56VCTtayIELqUg,2
OGbdvZAvSZ30l8sde9GSwQ,2
hFa7UxRZgJDQJ3UBhQsu9A,7
_BqPnypB6wPZRPbEqtKy6A,2
sKQ0KYon7eT6xEnCpb18aw,2
iCfB58Cvb_rw_SDAgPXLfA,2
citzbW-2MVEZRNBqpVO-Jw,2
jVJH1KfitQi87MYMh6vyMg,2
iJKOUYgigs4VYsWny6AtEA,2
W6S482dRQ_9nCcLjfv8VNg,2
1Ye_elsSB-XjKgWAHDwPbw,2
fLeD_h6uD4yEN2ciI08RiA,2
19fHbf0qzihtEtXQZ2ntww,7
Y4eaKcLP0hCIfvhknOT4uQ,2
oQcV39W4ApVURMAXd7qhzw,7
VHJBGikBqXpdc6mc7qtQ8g,2
fd_fNaeZxcZfUza3K6Be9w,2
4VGEq2AHUw3uP2L51S8raw,2
TUU1mt51yasYH0QYwzKTEg,2
G01vpgoEWyYxESzZEij5sA,2
koYe0Xt78lAigCvFRiCw8w,2
yn57lTycvUvogODsFEyWVQ,2
hrPLZ99KVPz_7yxZVfc9kA,2
E55sNGuWYTRlH3r6_5OlOg,5
E55sNGuWYTRlH3r6_5OlOg,7
8vvMGaJ5biveUVE6-yTipQ,4
sTvFxzQU_4bm-owSJXx0MQ,2
qFsh80AAL90tkOc0n98bqg,2
jpEhAUyitrgwDatsgeBgXg,2
shIAkjO9IFa4yTM5EENPTQ,2
h3DUMo4oWyVQ9ZfGar6vPg,8
h3DUMo4oWyVQ9ZfGar6vPg,7
uyXVm7lhbR26t5Jy20VYPg,2
Nvy1jETQItFjG0oyjpGk7w,1
Nvy1jETQItFjG0oyjpGk7w,4
Nvy1jETQItFjG0oyjpGk7w,2
AjxhKYSbc1NrGOxAcqxb9w,2
52RFRa6UlbIxy8EnWJQpjg,2
_ju1BXAF5g5QtAFfZZKO1g,1
IugPZVHmgdGvOmNVi07ueg,2
f4ykOH9Z-87b2l3Ea4HDPA,2
MIK2lBW3eFpPcy0vKxPS6w,2
sX_vxWQuZu_EA1bkCX95Yw,2
ucDPodtTLX7LHZnigGRa4Q,7
ucDPodtTLX7LHZnigGRa4Q,2
LwXkXDdsu1yWWcWAbt2fYw,2
Cv4QFI1gGGrgRSVnMU0qug,2
Il3GDb6A7rGSYdt89Wb0Fw,2
QpQ8CxC14jnNOdb7B2R6zQ,2
CZ2KPQtt0ah0up00YK0Ypg,2
081vVr80-uscqGGaFAxKfQ,7
081vVr80-uscqGGaFAxKfQ,2
1DCPuF0_VZNLRvHEAVJJng,2
UXJEQycac7JKyyTVDjWBdA,2
hBmWWvU6BSL6i_eYapOFGQ,2
G1M1OJmxp5dPY3rRYpl5WQ,2
w0RHRKHj9g2G3H5LcrOiKw,4
w0RHRKHj9g2G3H5LcrOiKw,2
ujUb29BOYcUyhMcnqo4bWA,2
Vy9VN70aRpIe4yEo55VrWQ,2
ULrDH5eEndkbALvYEBhrHw,2
-ShzgoeH2nvGG_TlNfMz2w,2
t1KiSVmxADW1LaxA2Wtj9g,2
QfaobFtkXhyTirLQLkV82w,2
gfIj5FvIejEiex4WV04wIQ,2
Pn9_MnhoLrMFdW3AZDORMQ,2
OJUTu1PAPjljZBwtI5DUdg,7
W_M-QaSW2y2JfUDRfOZ4-Q,2
OEMBtqjWgHvLOCIjhY_7eA,0
zj8HThbzTWvXl7-Dw0_nsQ,2
zz0l4dUf28wzPAaTdGqsSw,0
SYcdJP123caYVCkZ27BIOw,2
mskYyOH-xVyBlBn9OLqu4Q,7
mskYyOH-xVyBlBn9OLqu4Q,2
3P-5sAQoAyKcoO5e4paG7Q,2
AVYuQ6DTqpqsB141r3lH4w,2
qljraKzqFlIONICsRtzSnw,2
5Vp6Pz3AVcqbyDj1ynKOTA,2
tuKYmeiSkAURPQnRDCLBxg,2
wkO1a_i1Mzpd-0sbiLa7EA,2
PtVJoVOcsll8TP2HnArLsw,7
ijJLd8VHB-vPLWmHyyELYQ,2
Co47eJ287hxR-9iqhnswcw,5
Co47eJ287hxR-9iqhnswcw,4
Co47eJ287hxR-9iqhnswcw,2
DNvMHI_X3PEi9vTmMHO0Yg,2
nNKZXzq3kT71E6R3JX9RPg,2
VlzexKYF6St7-N4tAoGBqg,2
7VrD6atyAIOPJAEdAvsA1g,2
HBuQAJvypwNerylr03XqQg,2
gAiAwgSFAzT2yFXyL6dVcg,2
b9cdwGoH4oetEYA5b1YpDw,2
5vNalmeJRlPQR0HGfyCq7A,2
pWIO8FCZqnPxTwt7lURk8w,2
YCfMNP_1YCTXTKlrnw44vQ,2
JEpsrFGIH4ixJJ4q2yUb_A,2
pvwdXO69MQKeAEFwcISnFA,2
IZMHmGH1NbULyreLPx3t9A,4
IZMHmGH1NbULyreLPx3t9A,7
Qpyp_qwSCxb6a0PsLcJnwA,7
01ikDdFTvc2-YXeyv-YXjg,2
Z4S1pssoLucE1DT7aervXQ,2
K6SQfxBapNAIVr_C73ohlw,2
zVagjsscMqU6ztrFvv6hOg,7
PMv1-zywWOnHcmvcnB30HQ,7
PMv1-zywWOnHcmvcnB30HQ,2
SWrUyOkijbZPp6If7UMzjw,2
5L918sNOVHcCJKZ7RWATBw,2
RubysERTZxfYrkkzgYOlXg,2
CLUKvU_lTOcCQi6_24lzOg,7
CLUKvU_lTOcCQi6_24lzOg,2
r19qAeTxkc-aes2UVt9v5Q,7
r19qAeTxkc-aes2UVt9v5Q,4
r19qAeTxkc-aes2UVt9v5Q,8
R5yCU9dJnGcXw3voSB7pKg,4
R5yCU9dJnGcXw3voSB7pKg,2
Wy3s-xxiqZBg5Y1eSzI2DQ,2
b9bzEYHseU0ceo7-0XaXqg,4
b9bzEYHseU0ceo7-0XaXqg,2
lm-KtpMuHoPVCkC7zpr_xg,2
i0Q1qSWUsyMJcbcTNJBtIw,2
YxRqBrepifOBU7KO4b4BDg,2
eZV80xPOehww63KQWdrviQ,2
lqMOJ_cVSvVU-lferJVPLg,2
4To3eljiM2DlF-D7Fih8iQ,7
yTVTy75PHthgHH1ZcGVbZg,2
TlaXeIvS_0yQhjWTLHCLSA,2
lwJllJ5e4CLHdliOPEfgGg,4
lwJllJ5e4CLHdliOPEfgGg,7
lwJllJ5e4CLHdliOPEfgGg,2
Wj2Rb6wGmejjYuZgRpNuNw,2
DZUZbsr-a_59zjjPY8rGKQ,4
DZUZbsr-a_59zjjPY8rGKQ,2
3qRDGcBOcfFnEfAzVLO6oA,7
QqN7cWY8DerAsL7kW01UcQ,2
0MivygP7tD4AWbskqYmMuA,2
UI396ToWHWXcDmILMclWcg,5
3N38Hwxvx2Azb2hyLb1vxA,7
3N38Hwxvx2Azb2hyLb1vxA,2
VcwdSsoGhQAwo7Th3MWBOw,0
j1e3-hZkEX-mnxuujdKQig,7
j1e3-hZkEX-mnxuujdKQig,2
UBX73ZWgCdgom4nv0UeGvg,7
UBX73ZWgCdgom4nv0UeGvg,2
-KugJyLmuTECAE121jsCkg,0
ZraQzfGJfnVMbMXZwOQ7Vg,2
VNf2NwMjjcYVBWGGMigTtA,2
J4Lj1Mag6ODDmP0kuRnEZw,5
QgJv-WSd5IdYTYIaS_RRxQ,2
FjgPNVFrbL924rNUMm8nBg,5
yK8LWJ4VRTYEoGxVYzcjQg,2
gtOVX8hGKKIryQs0lGPt3w,2
hFMud7XDefdWM1d-p1B2dQ,7
hFMud7XDefdWM1d-p1B2dQ,2
2-yrFS9sCxyKPfr6CnHmTw,2
Wbq1ioousibK88FRw3PlDA,2
0y5x2QxXdeHvs_m0hoO84Q,2
gemfdRJabGzAqfD1oLLC_A,2
0HzjYHjeL5GvGHMj9XjO5A,2
ylkgMTVWMvliW9x-XlbjvA,2
kvb0a9FiFs9UXWxE6q-5DA,2
-PTWFicakClBDK-zyQ5hjA,1
-PTWFicakClBDK-zyQ5hjA,2
-PTWFicakClBDK-zyQ5hjA,4
HQdoy8OpEuGKM_Op-ovHFQ,2
alM80dgR9izB_svltTw1Nw,2
YkL_44nF4_jUDm3cyq5SJw,0
X0lMkTXVs3PLcyKzQ6GTcw,2
qCVbvgYjJkdsrSN71Ra0Ew,7
hJ0QkeOdQ5y7MTmdR9NO1Q,2
hJ0QkeOdQ5y7MTmdR9NO1Q,6
hJ0QkeOdQ5y7MTmdR9NO1Q,8
T3zMecCY619BrWOg-fi7lA,2
aAPiZY_6_xb2qSMs0ABBpg,2
rwPdi2Ept5LcVYIRUjj53Q,2
BKVwN2btBPovpWis42Urlg,2
DZG3652AxmIUGmlF-hg3mw,2
qdKCj1XsTCgTql1iuPB5lg,2
qRB4CzTnQy6iOO4D1FT4kg,2
JCXcdCGpqIRXEGzhPukdsg,2
Y8iVXWq_C-U3POZ6yItw7Q,2
ElEbumta2ujV9PTx4OGbVw,7
gu4TEXWfC69ZVrKDsVPtKQ,2
FYOPKSHyRVYwqjNayJdIPA,2
-6eomXaFuOSKPsUbk2A3xQ,2
yFxxhrdtDfmNF4xcXeem8A,7
Qz6-OxFp9PhGwMZG5geqpw,7
Qz6-OxFp9PhGwMZG5geqpw,2
9pPK-EhpT9jkC7WXdtDM-w,2
iWyYWFXrOvyoxIvUPf8OuA,2
P_nqb7lULOtx3pAJbKfFXA,2
sRJFxyCjZnmXuZLk6uKW6Q,2
mcmOeaoHlryrtogjd3tooQ,4
xSaH011Ov02w-8sxr78M6Q,2
ZjwEfrsA2bztSk9SLrPqPA,2
KzGXMHnlrknUhEjNyD8yZQ,2
bbm5_njEZyw68E7UUY0xgQ,2
4lVR4qfWaX-wn1v4EakF8A,2
jJKvRg2tYr7qWP-VxdjCTQ,5
jJKvRg2tYr7qWP-VxdjCTQ,7
leaEzQ7Uz_7NID4vpx9RCQ,2
vVLLNrqhvrkVXfIIW9Etag,2
Wz687hCcjVyHTCP-jd6U_Q,2
imCIha88DmlxaWpXScRkZw,4
imCIha88DmlxaWpXScRkZw,2
0CeoONLXqseUxPdGerefOQ,2
DoHkrJJVPffu924i6MLtcg,2
j7LZM6rf4Bf33exo6XXKGA,2
71UVaCN8AtyovlqoS0Hixg,2
bn0XzKxBRBWvnHUMg5cz6g,2
7NZ8Uq7Xtx4i7MR--1IjNA,2
R36Rhjk95Jh70scUravEQw,7
R36Rhjk95Jh70scUravEQw,2
L7wxBug8MF-Ag-u43DkQpg,2
DCJefHxEStVHnX8acaq0xA,2
jwp7_9S5IslgXnA7udfkYQ,2
mnyk_gnb60vFB2o6Y8c2Gw,2
N8NB7lMryKMMf6SJUvzYVQ,2
pOCjLcWQskQjRPi6zdLvAw,7
OwBgQo86CL2GmGX0OIUEEw,2
SwDn4LYC7uzQMmIz8RMBBg,7
SwDn4LYC7uzQMmIz8RMBBg,2
leBpyQruds138tREAfRvzA,2
n7XtDJQVnxb1UzPPzlOlHQ,7
n7XtDJQVnxb1UzPPzlOlHQ,2
ikqbPYXQNLIvfz0kymBnJA,2
r3dO-D1qFn4Jct7KDNvImg,1
r3dO-D1qFn4Jct7KDNvImg,2
vLiXVP1WHdilv13s5SnnQQ,7
R1NlqZdqYbs-KXLPXROS-w,2
5xIcqp5q-6mw1FKaKpRCxw,7
2b-txFFWmKKq4AL-pnIxZg,2
l0qTrHzfkquC144PkJh4Rw,2
xHWi7ZQ0zlRoKWlfnmhOYA,2
Y9EfIbXryZVWA3IVx86bAw,2
5oEyGDeqeXeMfFXZdevtFg,2
RO1LyRwH2eZT_eNUN0dC3w,7
RO1LyRwH2eZT_eNUN0dC3w,2
rugDoz-A6vL-FG-8PbvOag,7
eBo_ZnzWshp5Myx7ugbMhw,2
YSJ2WaubNxMCnlNsZfIQbQ,2
Lb5Gi0VnxwtFXk3sMTSMcQ,2
IzUXCIMWeocK1fJHdrgJgA,2
LZquQqjVqoWFhVUqfLxUKw,2
m5fKuw8ZMfYjJLtcISCORg,2
51Fo_uY52A5oaI8YTHU5yg,1
51Fo_uY52A5oaI8YTHU5yg,4
51Fo_uY52A5oaI8YTHU5yg,7
51Fo_uY52A5oaI8YTHU5yg,2
L3CwFF0JhicaxVfWzzrEAA,2
Qx6IaAjbIECWWaRuqjYMfw,2
K3ZZua4ab6YLhPqZ_DEDlw,2
cbimTBHAiibDpq8O6mP4VQ,5
cbimTBHAiibDpq8O6mP4VQ,2
5QPZY59iu3a0C-jWsZR8ow,2
QOMipQ_Xd2ISvO0MvAS_xQ,2
s-0tlWRv3QQnFEzs5CytRw,2
qC8Whdafj7-DQ29b7Rlcdw,2
59RdMsr5iXwZnD_qlnPskw,7
lM5TtwwucIPIzEPeDqDaEw,2
I99hAdRjOW31DfHW6MUqwg,2
2UPOe4CTsy57JyBWCjNWbQ,7
2UPOe4CTsy57JyBWCjNWbQ,2
IHO1oAX0PrEQo5VYuipX7g,5
IHO1oAX0PrEQo5VYuipX7g,7
LOYex5JW6KuH_4t332wzsQ,2
4hWPnJWr1pJYOcI0CGrzWg,8
4hWPnJWr1pJYOcI0CGrzWg,7
BJxoz5d_Z45JasgZ7o-5_g,1
BJxoz5d_Z45JasgZ7o-5_g,4
BJxoz5d_Z45JasgZ7o-5_g,2
DB36BjmWWPkWqESu9tjIaQ,2
MHCH84BAFfYXyY-NujHG7Q,7
u6J-aO61VRmS7NKeBzrSjQ,7
u6J-aO61VRmS7NKeBzrSjQ,2
gkZ6iiEfnO7I2UzOHbkzrA,4
CFBnmxqAm4vX6v4BFye70w,7
y_ErDiWeXxyYcL1_U966qQ,2
LI1pBFuAuen2hD2a5rilug,7
BHTpjNMdeja_cg9pRnRBOA,2
CQgXWdtFDfshGMVpWqE15A,2
sL_JrM7Llw5arZh0-JxZ2g,2
zfZvIjyu_hsnrnDcUZuBqQ,2
Ds8E5RPjm2UHUemXJVTs3w,7
_-pljHy_NUTTdd4dQBL-Yg,2
h0jLNrV28BX3AC6yHaN2Kw,2
dRFSMj5Q3lro4UDeN6oCQg,7
dRFSMj5Q3lro4UDeN6oCQg,2
LWIXucbDnKfXt1se2wtqLQ,2
8nio_7eFGbCSLhiLwbWvdA,0
8nio_7eFGbCSLhiLwbWvdA,2
evrQGHs_lC_fmEniotaX8A,2
evrQGHs_lC_fmEniotaX8A,4
evrQGHs_lC_fmEniotaX8A,7
i6-HSvdSaNy-Sr4FXiM9YA,2
86Zz4Bysrm6GIBpci955wQ,2
FnI_J_T63I3Py7GnnmDaWA,2
FnI_J_T63I3Py7GnnmDaWA,4
msp4nQ9YPzSA7d6fVbSrAA,2
ryqbpGS2tPKo2d9DkEdf4Q,2
LsMs0NL9jBukdsPqTP-sOA,2
qOFcDjpUw5oeV7LIdDAubg,7
cemvFp_hGI_6ev5_pd9Lew,2
-jtTmbqX3jeMs4z693SO4w,7
9XzPqLGIkuN1rmqWH7aP9A,7
9XzPqLGIkuN1rmqWH7aP9A,2
fqyKLWyaBHAz8I-FhEsruQ,2
7soL3w71DCyyoC9XKLODkw,2
bOsKg2PXQeSjTPWYNFnKxw,0
nGcfY8qVamkNIW7emQlfSQ,2
_6BiItGONFUlzOYEYBMFkA,4
_6BiItGONFUlzOYEYBMFkA,2
yEHnyZkYPROFuSf8jDfVVA,2
13l05k8AeGBJOIp5H4wlIA,2
Ct_g_xmNh1wvpfTD-QLI8Q,2
8zSe71yhFMeydp1UKJrEEg,2
trkKocO5llb_3z54Q01q9w,2
TPYRKrXsdUfOUQNFm6w_3w,2
S6ACtNZ5wY0EjmK07iWUgg,7
S6ACtNZ5wY0EjmK07iWUgg,2
CUHE082XLb3X-vKsnFp4aQ,2
Wbqv9rUtbNanq-hhegOYsg,6
Wbqv9rUtbNanq-hhegOYsg,4
Wbqv9rUtbNanq-hhegOYsg,7
GLdfpx0O93HoIJfHonV-JQ,7
GLdfpx0O93HoIJfHonV-JQ,2
UGRRI0KG9S8WI-oWTaPaHA,2
iGJ6-XgJrOkEgm-ahmS4sA,0
ht70fX_P9ufTqDxIjtbwpA,1
ht70fX_P9ufTqDxIjtbwpA,2
VkHexf3mBy-8hu2vsSVd4g,2
VkHexf3mBy-8hu2vsSVd4g,4
e4GIbSFHess2qAopZNzxMQ,2
B61ZWIX1AEl76A2WEdDZMw,2
mNKL1JPiN2zBrUmIgTM56A,4
mNKL1JPiN2zBrUmIgTM56A,7
_-OXe_vQnPRZp7-JBqXmbA,2
vkffDkvbUwkgEXoBbCAXng,2
z_MefzpYwQkxXorCdQTUjw,4
z_MefzpYwQkxXorCdQTUjw,2
luUGLqA3Gxv5raCJOAzblw,4
luUGLqA3Gxv5raCJOAzblw,7
zgSZxYaCI0wcMTR0Dxd7oQ,0
zgSZxYaCI0wcMTR0Dxd7oQ,2
V291Oax3fUUxUzXnOpOqCQ,2
Iud8PGRJx53S4zpBVC2pSQ,7
L7r4uOZT58z1Vv-rGlSZBg,2
kehm5RaeTwFNT43jfm7BSQ,7
kehm5RaeTwFNT43jfm7BSQ,2
9tXwyr5Yqu4WnuCLOUPtrQ,2
IiWJAgqRZnccukTwi_YjvQ,2
ssCzAwPICd79FWhkqdpgBg,2
-VbtijUhH4xVP7cZbEo6-Q,2
XqOSW0xVG7796_l_5-ai1A,2
_6BDxk8486ZYiRwpPmQewg,2
s4sR4VUo5bzMcpXuiAj-EA,2
4sZVseAd2XZrSReEmBlMFQ,2
TqDErLK4t0TfSiFzxuocuQ,2
t33PAjYsxtFw--8NpLKfNg,7
t33PAjYsxtFw--8NpLKfNg,2
Lmb-iJGzBu_1W-dEvB3TBQ,6
Lmb-iJGzBu_1W-dEvB3TBQ,7
CBDzS_gMn_-jO3_4XXVYeA,2
XmlF_2NbH65tDiSd2u2M5A,2
k2qArgJgsWWrtWT_r0rRlQ,2
srk9xvVrkXrEKUP-7oXAfQ,2
8o3w3Tu368WTFz45rMLvYQ,7
8o3w3Tu368WTFz45rMLvYQ,2
t13D7cAJSWtJj19uatqoXA,4
4OX0hYoXnXB9ihtptZByug,4
s_sEMaNkRtwjEFJfStaOgQ,7
s_sEMaNkRtwjEFJfStaOgQ,2
EP9K6qXOyHFq_0tp93wh9Q,2
EP9K6qXOyHFq_0tp93wh9Q,7
LGYzaCmNj3_FiG-r8U1-mw,7
wz_wBcvlHhLi6DGKi_MPOw,2
YCLI8aFvdM3uUE-MgrPJZQ,2
L-vZQuTZFNqjRdXdUnlurQ,4
L-vZQuTZFNqjRdXdUnlurQ,2
gk3hzKydevLKZ2FVmJdt-A,2
jRbCgGm1cpIcBZf-vOhJvA,1
jRbCgGm1cpIcBZf-vOhJvA,4
jRbCgGm1cpIcBZf-vOhJvA,2
FQbLZ_N_VuinjfBFxzK3TQ,7
qJcmu67ZEQ4bd1m9Kh_T1w,2
MqJlz0N3ujhtZCWnJmOpZg,6
MqJlz0N3ujhtZCWnJmOpZg,5
MqJlz0N3ujhtZCWnJmOpZg,7
MqJlz0N3ujhtZCWnJmOpZg,2
47IVPsHZAA0soPvidEnNbw,2
LhQ_DPEESCNf-hy-GrrMdQ,2
PADyvVwZoY8waIraBOrN7g,2
1lOOo2L-Q9jvJAs-nN9dlQ,6
JXXjN3mw4zKdBTpRtVQKcg,2
0wX-W6ljNl0qJVEaE3tEbQ,2
MsWmW4SkisV0uJIBxeNstA,2
_vpIEol9cEn3Y3KLpwbGkg,2
cg-5DuEk0AMzuILNx8FGtg,2
BnbHihkBM50Xq-uBy5bpcg,2
_CYSduKMEb9c_q2zX63dmQ,2
FzlicQyHeIbLGreKpfrOmw,2
UGHVZSx-t_bVeMfFE-MYwQ,2
jeL2UXjzEqjAj9hXhIdagg,4
3lz2SeaByGnNHkqefOOw7g,7
3lz2SeaByGnNHkqefOOw7g,2
_GWFsg1dl--bf7SnnCH4zg,2
zJo7j03ZP32Ou3YdGh5fQg,2
zJo7j03ZP32Ou3YdGh5fQg,4
23hSJ8QvSK0J7pcqXARrOA,2
jBgAnt-Espd14jxCshc1SQ,2
5RZPAro3mrnVVIQ9FESIyw,2
K0Cw8KXgF23sEji9TnfBkA,6
K0Cw8KXgF23sEji9TnfBkA,7
byc92hBKz0DKvjcpl76LRQ,4
byc92hBKz0DKvjcpl76LRQ,7
wzR95QhtA8xn7cLEfsQWmw,2
pIoIdh3M-RQ9ohTtgzGd9A,2
14V1okj0kDg2JU6ykdeKLw,2
9rqb7gBJPbsFuESZfVMaXQ,6
9rqb7gBJPbsFuESZfVMaXQ,7
UQxzV_rY0rdbW9pPR2dsTg,2
lgxwrbvtz-Vqhc-oryi5qQ,7
YvkadIJ-G9OPpnCOSW2ISg,7
YvkadIJ-G9OPpnCOSW2ISg,2
bjZQ8Ql0QzlRW6GgdgIytw,2
yvVJxONMGqOzO1ouw77J3Q,1
yvVJxONMGqOzO1ouw77J3Q,2
yvVJxONMGqOzO1ouw77J3Q,4
u7bo1o8ry-fvb6PbvtZJzQ,2
BKlw_Ao7FK01I5j9w_EXwA,4
a2NKecVY4wof4NGSc4hFXg,0
i92ouDpINZXfL5gov7I5Kw,2
oC43ya3FFAG256bEXyXm2g,7
oC43ya3FFAG256bEXyXm2g,2
RnF36ZCuwHxpoFXf2aXX1g,2
OQQEhFY3Nvb5_jkmcQQDyw,2
uSRW0_iRB_Ri_qO_fz9VjA,2
giGFpZkRy89cUzgTuyfNGA,2
9kRo0ULH--EDQwI69Shw-w,0
FN1sLS5hfMydZX94SYD1QA,2
riwJWxj4850tGBhRahDt7g,5
riwJWxj4850tGBhRahDt7g,7
5c_jYz4IolgGdrJLabSTew,2
8hWGADp-m3NzX1-oSXPwPQ,7
NsTtjA9ZuJVr6pHApkOXsw,7
NsTtjA9ZuJVr6pHApkOXsw,2
T7pfUqFPaxJWLquFePSLcw,2
Uz4ezmjEr2SawQL3zRcoZQ,2
K32hC2muzKilZkUs9RJhcw,2
ojmk4fKI4_8ZqRggwlxUpw,0
tILA8ctsD_OZIcM2IfSyQA,2
ELgR35KIlpuTMeWi6tFP7g,4
ifEkf8JxP3RCBeszcIGLww,2
VbzoVWEPSfzaIGBq4KlVwQ,7
VbzoVWEPSfzaIGBq4KlVwQ,2
z9i9Tym7T64lMDg70Ii9hw,2
Tr-8_aJ7VgywoRk3sMC4Ww,2
SRg4QRR7xQrZ6cp9u8VX9g,7
nTIbCcAYMRrzUm29h0dk8Q,2
XIBoAKSB52c3BYXnbLpgaA,4
XIBoAKSB52c3BYXnbLpgaA,2
h9tUG_bLdX30YAED9q0Fsg,2
bS6aPaOR0X6OH4eFeEeUfw,7
f3qKagX8q2lnz1O6Ulck7w,2
iR5MI7ch9z3AYiqxBVLJLw,7
9zOydjYJlIqsnJYtWDNP-A,2
P9pwQW2d-M1YgYQH71K-qw,7
P9pwQW2d-M1YgYQH71K-qw,2
ZlOWflwsH8mMtyMlQgYWZw,5
aAslC0l5mZB8oJNbld0byA,2
rDy9qZZEq-mbKExVQNTaqQ,7
rDy9qZZEq-mbKExVQNTaqQ,2
_95ZY2UZrasSfuoDD_E1YA,2
f5KbR9Ty05qgJvFbMm7fjA,5
f5KbR9Ty05qgJvFbMm7fjA,7
