restaurant_id:ID(restaurants),name,stars,review_count,price_range
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,4.0,23,1.0
_Oksx3ALgKLRVxeAR8l_qA,V-Trap Kitchen and Lounge,5.0,13,2.0
_NhT0A3LUEd75L_cEXf2_A,Season's Pizza,3.0,7,
A_-Vv5oKZNqxsV69_7E2KQ,8th & Union Kitchen,3.5,177,2.0
JNH-hcySeuGmtI_t8dG3Dw,Del Rose Cafe,4.0,8,2.0
ekBvLA43oEWEswUXZI0bYQ,Shawerma Palace,4.5,8,
5R6YO6K9PkthkTbXqV9slQ,Sakura Japanese Restaurant,4.0,86,2.0
iXemjTj5TOByT1-cNTSaDw,PureBread Deli,4.0,64,1.0
5ODCsQbRdsFIWlypGF3iUw,Brandywine Brewing Company Restaurant & Brewery,3.0,28,2.0
s-7Q1GAQmB-Qsm_UwviHVA,Lone Star Steakhouse,2.0,15,2.0
59fWFpyDg01BTEH-Hh6jdw,McDonald's,1.5,25,1.0
YdpDpp130fxiX2DUdQLSqg,Bardea Food & Drink,4.5,181,2.0
EROSyhoWNCUH53NrDrsHgQ,Mary's Kountry Kitchen,4.0,50,1.0
Vo4NZBtF3mr6EJitNnq-Wg,Pizzeria Maki,5.0,13,
xNWueX3uZjmixQUkY38GzQ,KFC,3.0,5,1.0
sFtEbnWDtIADseyr8Lx6Qw,Spice N' Nice,5.0,11,1.0
ulwns2OavT81v6zG-Sk6ng,Wawa,3.0,8,1.0
B6zs6ywn7TfhOmmDtuWQkw,Farm a Sea Bistro & Crafthouse,3.0,28,2.0
qmDm7guS7TAZTSDFYY2bug,Pizza Hut,1.5,45,1.0
SkWaAf50KiN2m0zXfnAuiA,Luigi's Cafe,4.5,63,2.0
D392vqhMjDPkHw1U8p66Uw,Maryland Avenue Sub Shop,4.0,15,1.0
O1gJVygW6UVgKCpErmYZfw,Subway Restaurants,2.5,7,1.0
ggJXlslLYndvE7n3hgJBCQ,Capital One 360 Café,4.0,5,1.0
CKKY7kxtznKVzm9FBzAL4w,Little Caesars Pizza,2.0,14,1.0
Q4OTSH9DaoeqtYcg6qYtZg,Subway,1.0,5,1.0
OlOVRlcEstxKK_6hMjy63A,Hollywood Grill,3.5,190,2.0
eNxh94Ogxwuomg7JsZu98w,Adda - Indian Grill,2.5,11,
o8JeOB8HTa5HYHg6hfqTHw,Walt's Chicken Express,4.0,51,1.0
7Ld1DxAhSlGSateku0iqbg,Ristorante Attilio,4.0,50,2.0
7O7YHTUB3uqXHsQSLKR0SA,El Jefe Restaurant & Mexican Grill,3.5,69,2.0
MZW_eTFYFBvHYg5OFqDRCA,Red Robin Gourmet Burgers and Brews,3.0,118,2.0
i2qrXvLkhyG4xyRI-ddcZA,Baja Fresh,2.5,17,1.0
yDiWYpuzRxcTgSi_O4JZpQ,Masala Kitchen,4.5,79,1.0
ThZyytdc_kj2uBYFiSao-A,Arner's Restaurant,2.0,57,2.0
uoMWvXch6sWnI9FMsE_-Vg,Cafe Napoli Restaurant & Pizzeria,4.0,114,2.0
02kw1y-cUK5v_u5BaAQvjg,Arby's,3.0,9,1.0
fCFUlCHG4spZ3O0vbqnYjA,Pat's Pizzeria,2.0,5,
LSxmfbgcZLdQ5ai2vf2nmA,Zaikka Indian Grill,3.5,69,1.0
psD0qpCK-iENFO9c8hmnkw,Famous Crab Cakes,3.5,37,2.0
c4D851qxOujE5KTH8upXTA,Wendy's,2.0,23,1.0
5RtAJPXFLTzwALIe1mtNuA,Piree's Piri Piri Grill,4.0,77,2.0
xtbAqP_Ftb3kYJ53Hv6H5w,Top China Buffet,2.5,5,
ZB2T9dwB4vhHPsJC_4eOnw,Nordstrom,4.0,24,3.0
mtowE4p6gOgyGrHAsMz-rg,Eeffoc Cafe,3.0,31,1.0
f9iPWhAeA_IKCF-aPcud1A,Philippine Bread House And Restaurant,3.5,7,2.0
ccEgmgcc5uLJejser0UD0g,New Castle Bagels & Deli,4.0,21,1.0
oS70RVt-RegY3Ts0hLASQA,Saap Lao Thai Cuisine,4.5,63,2.0
N-_ilHVIMQqzkga7nHfA8A,La Tonalteca,3.0,6,2.0
VMiDHHR-JHgB4ZoVluxpLQ,La Tolteca,3.0,6,1.0
ixsljpxu56VCTtayIELqUg,Tokyo Sushi,3.5,17,2.0
3zWNxtRhyR4rLPfXyQgSyw,Wawa,3.0,10,1.0
XF86J5bJKkmueBL-PmPbcg,Subway,2.5,7,1.0
OGbdvZAvSZ30l8sde9GSwQ,Mr. Pasta,4.0,39,1.0
wWcETNWBnFEi1J_W_9hXJA,El Fogon De Tato,5.0,6,
DAcqRGI_u8yNCcUIczfNxA,Wawa,4.0,11,2.0
gTM5c2B3X2nEvYg6Jlw_EA,The Mayne Dish,4.5,25,
k9W1gDPg4TziOTqY_xjTyQ,Friendly's,3.0,35,2.0
hFa7UxRZgJDQJ3UBhQsu9A,Piccolina Toscana,3.5,99,2.0
_BqPnypB6wPZRPbEqtKy6A,Grotto Pizza,2.5,63,2.0
sKQ0KYon7eT6xEnCpb18aw,Chili's,3.0,25,2.0
MmFNgQrsPrFWUx6Wr3KS1w,Stoltzfus Sausage Sandwiches,4.5,9,1.0
UZkuF34Plfao49I9dylzXg,QDOBA Mexican Eats,3.0,18,1.0
iCfB58Cvb_rw_SDAgPXLfA,Russell's Quality Food,4.5,103,1.0
sTQZ6WHggp7pBnn7mW7y0w,Dreamers Cafe,3.0,11,
citzbW-2MVEZRNBqpVO-Jw,Buffalo Wild Wings,3.0,48,2.0
jVJH1KfitQi87MYMh6vyMg,Anthony's Coal Fired Pizza,4.0,119,2.0
iJKOUYgigs4VYsWny6AtEA,Ciao's Trolley Pizza & Grill,4.0,77,1.0
W6S482dRQ_9nCcLjfv8VNg,Bawarchi Indian Restaurant,3.5,101,2.0
XYoyLbHwbBJShaZltxsAYQ,Popeye's,1.5,10,1.0
7ELSYoA2CZx8UPSLrvhOXg,C & C Country Maid,4.0,10,1.0
1Ye_elsSB-XjKgWAHDwPbw,Applebee's Grill + Bar,2.0,35,2.0
fLeD_h6uD4yEN2ciI08RiA,Bubble Shack,4.5,97,1.0
JaHuWM3Tp1aG7NW66mhutw,McDonald's,2.0,6,1.0
5IFqqWJTaPNoY2ZgRlX73w,Cafe Verdi Restaurant,3.0,44,2.0
MTjS4g__WMgA-PPMjCL4fQ,Popeyes Louisiana Kitchen,2.0,21,1.0
19fHbf0qzihtEtXQZ2ntww,Walter's Steakhouse,4.0,73,3.0
ScXJHSCceQao6K87VK199Q,Mona Lisa,4.0,18,2.0
8zJsbIVBXDoGaEmQNicjdg,Fusion Spice Bar & Grille,3.5,7,
Y4eaKcLP0hCIfvhknOT4uQ,Crossroads Restaurant,3.5,103,2.0
5cvVmZYhYr1P0ot0ed2lJQ,Riverfront Bakery,4.5,32,
oQcV39W4ApVURMAXd7qhzw,Masala Kitchen,4.0,32,1.0
dsglOxl3QNlMzidRhZ4NWw,Papa John's Pizza,2.0,13,1.0
O7vMyd_Lg2-1DTW8VPFwcQ,Three Countries Pizzeria,3.5,13,1.0
8k3m4HBZB0h--N98bV4j8Q,Chick-fil-A,3.5,18,1.0
VHJBGikBqXpdc6mc7qtQ8g,Simba Tropical Grill,3.5,7,2.0
gdV2mdEGR_kPA9EW6r2Qeg,China Inn,2.5,7,1.0
ilriW8ywq5HFs56Ux8pftw,Ciro Forty Acres,3.5,36,2.0
hAV6BW2gfdtbDhxeBJUvIQ,Lucy's Pizza & Restaurant,3.5,27,1.0
MkYu8dMDQFX830cIqMo90Q,Old Country Buffet,3.5,40,2.0
pp79bmyve2egmM1_9Rh9Fg,Margaux,3.5,16,
Z5gHx5r8Amn_LB4eNSJs_A,Adobo Alley,4.5,39,
wlzn5BhVMS2Kz3BYcTZIRg,I M Coffee,4.0,6,
sHRfeIQg6FMhjKkiNfaLgw,Captain's Catch Seafood,3.5,12,3.0
fd_fNaeZxcZfUza3K6Be9w,Marias Pizza & Pasta,4.0,12,2.0
N-EQ9UDuFHT9RyC1JFX5pQ,Pete's Pizza,2.0,36,1.0
yQFHhWKAr2f8LNQvq-8NxQ,Brown Bag Deli and Grocery,4.5,6,1.0
NBPOJO1QZE_65BM4qmQahQ,Golden Castle Diner Restaurant,3.5,12,1.0
4VGEq2AHUw3uP2L51S8raw,Cafe Scalessas,3.5,7,2.0
XOOsIjiMVQYB3An7z89Mnw,Piri Piri Grill,4.5,6,
TUU1mt51yasYH0QYwzKTEg,Pachamama Rotisserie Chicken,4.0,61,
1C1zjPi4rYwgGr8kD-1pwA,Panera Bread,2.5,47,1.0
QrCC-AbRjY8J0jw-aBcotQ,Wingstop,3.0,8,
G01vpgoEWyYxESzZEij5sA,Five Guys,3.5,55,1.0
koYe0Xt78lAigCvFRiCw8w,Zoup!,4.5,76,1.0
yn57lTycvUvogODsFEyWVQ,Palace Of Asia,3.0,61,2.0
LdGu5XlzAX0XalxAUMMdwA,Kuteer,4.5,13,2.0
tvlElS5cQ6YVEVOb34ujqQ,Coffee Beanery,3.5,9,1.0
HurD0KDmuuHVNnh1lGb_OQ,Dragon Cuisine,3.5,15,1.0
cbfQNOgUYCu3Isfa6icYgQ,El Patron Restaurant,4.5,18,1.0
hrPLZ99KVPz_7yxZVfc9kA,Applebee's Grill + Bar,3.0,37,2.0
E55sNGuWYTRlH3r6_5OlOg,Domaine Hudson,4.5,150,3.0
hF-Ndu77yzspMkDZv9bWzg,Carmen's Kitchen,4.5,12,1.0
uH_nXWJn51aHspawHb-GBA,Rosenfeld's Jewish Delicatessen,3.0,30,
41lJbk2WXU3R0GKDKxRFPA,Himalaya Indian Restaurant,3.5,11,2.0
H2HZ5Rz01L2xLzjJR8sQ-g,Chick-fil-A,3.5,23,1.0
8vvMGaJ5biveUVE6-yTipQ,FireStone Roasting House,2.5,132,2.0
sTvFxzQU_4bm-owSJXx0MQ,Cromwell's American Tavern and Taqueria,3.0,94,2.0
p_iyQ6Mo33ZbGS5k5_bTng,Burger King,2.0,11,1.0
qFsh80AAL90tkOc0n98bqg,El Diablo Burritos,4.5,303,1.0
-AxGGm4yvhedkmN1glW1Xw,Ming Kitchen,2.5,14,2.0
jpEhAUyitrgwDatsgeBgXg,Bangkok House Restaurant,4.0,76,2.0
shIAkjO9IFa4yTM5EENPTQ,PureBread Deli,4.0,41,1.0
OpUoLGa5NwOzuPutIAa1vA,Hyderabad House,3.0,59,2.0
h3DUMo4oWyVQ9ZfGar6vPg,Harry's Savoy Grill,3.5,204,3.0
KnXW9AQKAlGmQ9AU_77B5Q,Asian Kitchen,3.5,9,2.0
nrlYIT438hkDub2ifE8DHg,Mr Wish,4.5,21,1.0
JQ__Ee1Uuw8bWUu8E2CjBQ,Hong Kong Chinese Food Pick Up,3.5,37,1.0
edFDP6O_R4n9BUXDMFqApw,Jake's Wayback Burgers,3.0,16,1.0
VVqQvn29cQ2LZXJ_9rPa-g,Celebrations on Market,4.5,7,2.0
uyXVm7lhbR26t5Jy20VYPg,Bertucci's Italian Restaurant,3.5,78,2.0
Nvy1jETQItFjG0oyjpGk7w,Farmer & the Cow,4.0,247,2.0
AjxhKYSbc1NrGOxAcqxb9w,Biden Welcome Center,3.5,216,1.0
52RFRa6UlbIxy8EnWJQpjg,La Tonalteca - Christiana,3.0,91,2.0
_ju1BXAF5g5QtAFfZZKO1g,Brew Ha Ha,4.0,80,2.0
IugPZVHmgdGvOmNVi07ueg,La Tonalteca - Hockessin,3.0,36,2.0
f4ykOH9Z-87b2l3Ea4HDPA,Hooters,2.5,37,2.0
MIK2lBW3eFpPcy0vKxPS6w,Bugaboo Creek Steak House,3.0,51,2.0
FGPFf3cZ0djSKNXNDY8IqQ,ShopRite of Brandywine Commons,2.0,42,2.0
sX_vxWQuZu_EA1bkCX95Yw,Tonic Seafood & Steak,4.0,122,3.0
mtXTk0-IRTS8d0w16ihRPw,Dunkin',2.0,5,1.0
ucDPodtTLX7LHZnigGRa4Q,James Street Tavern,3.5,37,2.0
LwXkXDdsu1yWWcWAbt2fYw,Mazzella's Italian Restaurant,4.0,151,2.0
Cv4QFI1gGGrgRSVnMU0qug,Olive Garden Italian Restaurant,3.5,67,2.0
PHaAnZO3jkJeVaekf2zT4A,Boston Market,3.0,12,2.0
UtVv2dVuHqpaJqnRwismiA,Steak Works,3.5,24,2.0
Il3GDb6A7rGSYdt89Wb0Fw,Paris Pizza,3.0,32,1.0
QpQ8CxC14jnNOdb7B2R6zQ,Uschy's Cafe,4.5,12,2.0
CZ2KPQtt0ah0up00YK0Ypg,2 Fat Guys American Grill,3.5,69,2.0
-eJJKj0ClOvumIYksYSdcQ,Puff Daddy's Sandwich Shop,4.0,5,
081vVr80-uscqGGaFAxKfQ,Goat Kitchen and Bar,4.0,198,2.0
1DCPuF0_VZNLRvHEAVJJng,BellaVista Trattoria & Pizzeria,3.5,29,2.0
zUMbBbxlBY0_hbAclEwDmA,Panaderia Y Taqueria Lili,4.5,8,
UXJEQycac7JKyyTVDjWBdA,California Pizza Kitchen at Christiana,3.0,79,2.0
HsCX4E7_k-XXS-1iTz17CA,Go Vegan Philly,5.0,21,
W6Nc9Lt4n89sEBXqpCIGrA,Pat's Pizza Hockessin,3.0,14,2.0
Z_xbp4N5MDssZxdUohybTg,Main Event Newark,2.5,140,2.0
hBmWWvU6BSL6i_eYapOFGQ,The Greene Turtle Sports Bar & Grille,3.0,73,2.0
YJgLVtH4IFzRTrlvTO2_Cw,Christa-Bell's Caribbean Cuisine,3.5,12,1.0
G1M1OJmxp5dPY3rRYpl5WQ,Bob Evans,2.5,42,2.0
jfv6PEdL5KchI-DGJlnbWQ,Dunkin',2.0,5,1.0
ExwZRGJcZ7eMfFalfQjhkg,Govatos Candies,3.5,14,2.0
w0RHRKHj9g2G3H5LcrOiKw,Scratch Magoo's,4.0,80,2.0
RzuUOVjXuyG9b8DctqAgFQ,Wendy's,3.0,9,1.0
ujUb29BOYcUyhMcnqo4bWA,Two Stones Pub,4.0,328,2.0
Vy9VN70aRpIe4yEo55VrWQ,Cafe Riviera,4.0,59,1.0
ULrDH5eEndkbALvYEBhrHw,Party Pizza,4.0,26,1.0
2CCPRNXRO33sYuotGG7MqA,GARRISON DELI,4.5,7,
-ShzgoeH2nvGG_TlNfMz2w,Morelia Mexican Restaurant & Bar,3.5,69,2.0
t1KiSVmxADW1LaxA2Wtj9g,Dreamers Cafe,4.0,32,1.0
jrNAkn21Tjq3n9v2n3m46g,Grapes Real Jamaican Cuisine,4.0,11,1.0
uAlZsR2u3sArs6vuuHl0mQ,Augusta Grille,3.5,5,2.0
0XXZSQpSbcbL1i4iK-Ohiw,Embers,3.0,16,2.0
QfaobFtkXhyTirLQLkV82w,J & C Cuisine,4.0,29,1.0
2ojUHZ_5H8_S0vh-rXpPfA,Hot Spot Pizza,3.0,20,2.0
b8yPm2F9dHjJLu5NF-lneA,Ameritage Bistro,3.5,8,3.0
k93U5RS4ohNqk9912QcyOw,Capriotti's Sandwich Shop,2.0,13,1.0
gfIj5FvIejEiex4WV04wIQ,Ubon Thai Cuisine,3.5,199,2.0
e1o-2If3E-OY2A_yvamrIQ,Eeffoc's cafe,3.5,6,1.0
Pn9_MnhoLrMFdW3AZDORMQ,Lucky's Coffee Shop,3.5,233,2.0
MyNFSdduvVnfeJu5sQfFLg,Giovanni's Place,1.5,18,2.0
hZVzFdmKqFDPHleovfGnPA,Jerry Deen's Family Restaurant,2.0,5,1.0
H0tVJV7M5lb0bE5vDZd6KQ,Pho Son,4.0,43,
OJUTu1PAPjljZBwtI5DUdg,Deep Blue Bar & Grill,3.5,52,3.0
W_M-QaSW2y2JfUDRfOZ4-Q,Gallucio's,3.0,37,2.0
OEMBtqjWgHvLOCIjhY_7eA,Sang Hing Chinese Food Take Out,4.0,21,1.0
PhPokNCiFVdOx8BsdPnqeg,Manhattan Bagel,4.5,12,1.0
zj8HThbzTWvXl7-Dw0_nsQ,Añejo,3.0,34,2.0
zz0l4dUf28wzPAaTdGqsSw,El Pique - Wilmington,4.5,173,2.0
yzQvpMF2HFZrK4ZL3vV5Ig,El Maguey Mexican Cuisine & Bar,1.5,6,
SYcdJP123caYVCkZ27BIOw,Southeast Kitchen,4.0,239,2.0
BypYxOw7LRO8zjFMxRWdDQ,Pret A Manger,4.0,8,
mskYyOH-xVyBlBn9OLqu4Q,Drip Cafe,4.0,241,2.0
3P-5sAQoAyKcoO5e4paG7Q,Little Anthony's Pizza,4.5,45,1.0
-G0iVQaYvpZETVKwPVdR9A,Crab Du Jour - Newark,3.0,68,
58OuqehnPxdFq8gWR_hBRw,Milk & Honey Coffeehouses,4.5,9,
m7gW3sfkxmIeW3dz5XTzTQ,China Dragon,4.5,11,1.0
-zngCcpYYPNXEfwv9NJsIA,China Express,3.0,9,1.0
AVYuQ6DTqpqsB141r3lH4w,Hibachi Grill & Supreme Sushi Buffet,3.0,83,2.0
lxWMl4ejGvFmihN-qSTNXw,Uncle John's Smokehouse,4.5,13,2.0
gRHfRxTqaf_oUapIB9MMUA,Cosi,3.0,8,
w2LKdmH6Ytez4ptNdO0Vuw,Pizza Hut,2.0,17,3.0
sd0AA8okoNnR7ONkF9AWvw,Cuzino's Pizza & Pasta,3.0,41,2.0
TYgc71FqGLGiROceq4TP2A,Admiral Taddy's,4.5,12,1.0
_I4a0zwTEJsvbLVqM5cS_g,Karribbean Delight,3.5,15,1.0
qljraKzqFlIONICsRtzSnw,Miller's Ale House,3.0,143,2.0
ML0D_20SZv-Xz0ST74qkuA,Jing Fong Restaurant,3.0,19,1.0
sl3Lm8ZNuY_oIop0ZFRzuw,Pizza & Pasta,3.5,19,2.0
5Vp6Pz3AVcqbyDj1ynKOTA,Blue House,4.5,6,2.0
tuKYmeiSkAURPQnRDCLBxg,Rivera Taco Express,4.5,42,1.0
Ixr2-GfYKatXdq1rZnfHiA,Ruby Thai,3.5,22,1.0
wkO1a_i1Mzpd-0sbiLa7EA,Little Vinnie's Pizza & Pasta,4.0,56,2.0
4C0xj95V8-Mp14OixoTUZA,El Maya Mexican Grill,3.5,74,2.0
PtVJoVOcsll8TP2HnArLsw,Tyler's Bar & Grille,3.0,80,2.0
UxP1VK4lTLKRu9cgjGhdaw,Brew Haha,4.0,26,2.0
ijJLd8VHB-vPLWmHyyELYQ,Deerhead Hot Dogs,4.0,37,1.0
pkNffAUPpdKaUuUUbhzLmQ,Philly Pretzel Factory,2.5,11,1.0
5hID2DruRwIwit0BcLHTaw,Dunkin',2.5,9,1.0
uMoHJJg3zFNjh09WxN8HWA,Taqueria Atexquita,3.5,5,
6Ks2A_uQSvMrDa9_wl5aKg,Sunset Restaurant BBQ and Crabs,3.5,15,1.0
4WAgExw8IOQ_mcN1DUy4Iw,Benjamin's On 10th,4.0,13,1.0
Co47eJ287hxR-9iqhnswcw,Twisted Soul Restaurant & Bar,3.5,44,2.0
DNvMHI_X3PEi9vTmMHO0Yg,TGI Fridays,2.0,75,2.0
3VZsvccKrkvmBshoAFrgGw,Dominican Cafe,4.0,14,1.0
SUththHA3pfnkQT3Tu27IQ,Pat's Pizza & Pasta,3.0,22,1.0
nNKZXzq3kT71E6R3JX9RPg,Grotto Pizza,3.0,71,2.0
KrJcaM7Fh-NClOIXfB-s4g,Espresso! Coffee Bar,4.5,5,2.0
ctppPuguEKktu2X7SaOf-g,Wendy's,3.5,7,1.0
VlzexKYF6St7-N4tAoGBqg,Pinang Asian Cuisine,4.0,142,2.0
7ABcgM9T7SD7H_-MLy61MQ,Riverfront Market,3.5,21,2.0
RKgn1CwGm8FCH0hKOTDG3g,Vinoteca 902,3.5,14,3.0
TdLZpW0GG0NXsBjtX_SlRg,Hibachi Express,3.0,21,1.0
vMWBVI5ky6c1gfuPB7ZTLQ,Urban Cafe,4.0,17,1.0
NQkqbnHOPwvaBGdhP_03qA,Doc's Meat Market,5.0,8,2.0
7VrD6atyAIOPJAEdAvsA1g,Capriotti's Sandwich Shop,3.0,55,1.0
Hx8DHtPTRq-Qa98fRCTofA,Burger King,2.0,15,1.0
HBuQAJvypwNerylr03XqQg,Tokyo Express,4.0,53,1.0
gAiAwgSFAzT2yFXyL6dVcg,Moe's Southwest Grill,2.0,46,1.0
T4RdefWsIRfo_36Bv8X15g,Dunkin',2.5,8,1.0
